,index,facility_id,Longitude,Latitude
386,20809,15472411,-115.667,43.147
387,20822,8004311,-74.893,40.08
388,20857,1549311,-122.424,40.509
389,20889,15604711,-83.696,33.812
390,20911,15508211,-83.695,33.815
391,20935,15578811,-84.082,31.387
392,20973,15580111,-84.081,31.387
393,20989,16971311,-116.82,43.904
394,20997,13841411,-121.122,38.336
395,21013,10136711,-117.858,33.854
396,21018,5905811,-117.98,33.647
397,21020,909411,-93.792,33.609
398,21026,3769311,-77.683,39.867
399,21060,2424211,-75.624,39.281
400,21064,588111,-75.545,39.176
401,21068,2800411,-75.548,39.147
402,21072,753811,-75.547,39.151
403,21078,754311,-73.185,41.171
404,21084,2708911,-73.1,41.224
405,21086,643411,-72.904,41.284
406,21092,14624411,-72.834,41.447
407,21096,590011,-73.109,41.209
408,21110,5523711,-92.873,40.748
409,21142,6257011,-79.265,39.2
410,21156,8449511,-95.321,34.015
411,21158,6011911,-76.686,38.544
412,21182,5695811,-84.376,42.246
413,21184,6212611,-122.686,48.829
414,21188,4188311,-82.96,36.374
415,21218,6816611,-90.335,38.401
416,21226,6436311,-96.082,30.619
417,21228,3732211,-92.555,41.098
418,21234,4018411,-97.214,28.713
419,21236,4837411,-106.432,31.984
420,21242,6336811,-86.235,43.07
421,21244,8129311,-86.113,42.795
422,21246,7892811,-91.058,41.389
423,21258,5985211,-84.558,42.718
424,21262,1083411,-91.408,35.678
425,21266,6773611,-79.929,39.709
426,21270,16320111,-79.959,39.708
427,21278,5335511,-90.659,42.503
428,21282,6251011,-88.557,30.533
429,21298,658911,-92.904,34.436
430,21300,5511811,-91.117,40.741
431,21304,6760711,-81.923,38.967
432,21320,8519411,-97.05,36.457
433,21324,8506011,-95.289,35.762
434,21330,5245111,-93.989,38.751
435,21332,4979311,-87.652,36.39
436,21346,3968411,-95.636,29.479
437,21362,4144811,-96.752,29.914
438,21378,4041111,-81.217,34.056
439,21418,6902311,-80.817,39.829
440,21426,4760911,-78.922,33.71
441,21460,919411,-80.067,26.613
442,21464,14654911,-80.375,26.699
443,21482,8522311,-95.289,36.189
444,21486,1013411,-114.71,32.721
445,21488,5321511,-94.589,37.361
446,21490,3981511,-97.271,30.146
447,21504,6346411,-94.876,39.725
448,21510,7164511,-92.318,38.966
449,21514,13372611,-81.018,33.87
450,21518,640611,-82.7,28.957
451,21534,863011,-110.3,34.941
452,21542,4120411,-80.113,33.369
453,21544,8306711,-79.929,33.016
454,21564,7458511,-70.805,43.103
455,21568,7288011,-70.791,43.1
456,21574,7287811,-70.784,43.097
457,21584,715711,-72.58,41.555
458,21598,14622911,-72.597,41.553
459,21612,12810911,-105.384,44.286
460,21616,12811111,-105.381,44.291
461,21620,8041911,-105.384,44.288
462,21622,15064111,-105.38,44.291
463,21626,7844911,-105.384,44.285
464,21634,15659411,-105.46,44.388
465,21636,7258311,-86.085,42.755
466,21646,5509311,-91.166,43.337
467,21648,640911,-75.233,38.587
468,21652,5045611,-81.911,33.434
469,21664,8404811,-79.79,40.538
470,21666,6084311,-76.528,39.178
471,21678,827811,-75.503,39.74
472,21690,640311,-75.506,39.746
473,21698,588311,-75.634,39.595
474,21712,844911,-72.692,41.762
475,21716,6196011,-84.155,36.02
476,21760,7717711,-78.746,39.596
477,21762,7870811,-81.031,33.365
478,21768,7664111,-94.183,39.176
479,21774,7663711,-94.477,39.13
480,21782,845411,-81.166,28.482
481,21818,5720911,-87.986,36.03
482,21842,717611,-80.515,27.039
483,21846,8048111,-77.618,36.436
484,21880,537911,-82.345,27.607
485,21896,1839711,-107.591,40.463
486,21898,6789111,-81.823,38.473
487,21910,7126411,-80.622,33.827
488,21924,6498311,-94.619,32.018
489,21930,13385811,-96.489,31.182
490,21934,7552911,-96.696,31.093
491,21938,7926611,-98.31,32.658
492,21944,4930011,-102.57,34.185
493,21948,4862411,-94.066,30.057
494,21964,7908711,-94.69,32.448
495,21966,4845611,-94.485,32.461
496,21970,7595411,-89.621,36.879
497,21978,2943411,-96.379,42.324
498,21982,2943511,-96.363,42.3
499,21986,7265811,-78.088,35.381
500,22002,6688411,-92.637,39.551
501,22040,8514011,-80.059,36.283
502,22048,12806611,-93.608,42.025
503,22072,5610411,-86.397,36.316
504,22084,6795111,-94.979,39.448
505,22086,6441111,-83.54,42.167
506,22094,7306011,-83.103,42.295
507,22096,8229311,-83.112,42.274
508,22100,7902611,-83.145,42.208
509,22102,7778711,-83.153,42.304
510,22122,2995011,-90.448,41.54
511,22124,3052111,-96.055,31.821
