country_cd,region_cd,tribal_code,facility_id,unit_id,rel_point_id,process_id,agy_facility_id,agy_unit_id,agy_rel_point_id,agy_process_id,scc,poll,ann_value,ann_pct_red,facility_name,erptype,stkhgt,stkdiam,stktemp,stkflow,stkvel,naics,longitude,latitude,ll_datum,horiz_coll_mthd,design_capacity,design_capacity_units,reg_codes,fac_source_type,unit_type_code,control_ids,control_measures,current_cost,cumulative_cost,projection_factor,submitter_id,calc_method,data_set_id,facil_category_code,oris_facility_code,oris_boiler_id,ipm_yn,calc_year,date_updated,fug_height,fug_width_xdim,fug_length_ydim,fug_angle,zipcode,annual_avg_hours_per_year,jan_value,feb_value,mar_value,apr_value,may_value,jun_value,jul_value,aug_value,sep_value,oct_value,nov_value,dec_value,jan_pctred,feb_pctred,mar_pctred,apr_pctred,may_pctred,jun_pctred,jul_pctred,aug_pctred,sep_pctred,oct_pctred,nov_pctred,dec_pctred,comment
US,48481,,13392711,71581613,65797612,99087414,306,000002,000002,000002,20100201,PM-CON,4.387,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.068894,29.288203000000006,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT1B,56350_G_CT1B,2015,20180117,,,,,75241,3647,,,,,,,,,,,,,,,,,,,,,,,,,PM-CON was determined using data speciated from the PM Calculator.
US,48481,,13392711,71581613,65797612,99087414,306,000002,000002,000002,20100201,PM10-FIL,5.3619,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.068894,29.288203000000006,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT1B,56350_G_CT1B,2015,20180117,,,,,75241,3647,,,,,,,,,,,,,,,,,,,,,,,,,PM10-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581613,65797612,99087414,306,000002,000002,000002,20100201,PM25-FIL,5.3619,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.068894,29.288203000000006,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT1B,56350_G_CT1B,2015,20180117,,,,,75241,3647,,,,,,,,,,,,,,,,,,,,,,,,,PM25-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581813,65797912,99087614,306,000004,000004,000004,20100201,PM25-FIL,6.996,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.067478,29.288839000000007,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT2A,56350_G_CT2A,2015,20180117,,,,,75241,4945,,,,,,,,,,,,,,,,,,,,,,,,,PM25-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581813,65797912,99087614,306,000004,000004,000004,20100201,PM10-FIL,6.996,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.067478,29.288839000000007,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT2A,56350_G_CT2A,2015,20180117,,,,,75241,4945,,,,,,,,,,,,,,,,,,,,,,,,,PM10-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581813,65797912,99087614,306,000004,000004,000004,20100201,PM-CON,5.724,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.067478,29.288839000000007,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT2A,56350_G_CT2A,2015,20180117,,,,,75241,4945,,,,,,,,,,,,,,,,,,,,,,,,,PM-CON was determined using data speciated from the PM Calculator.
US,48481,,13392711,71581513,65798012,99087314,306,000001,000001,000001,20100201,PM25-FIL,5.36118,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.069331,29.287986,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT1A,56350_G_CT1A,2015,20180117,,,,,75241,3643,,,,,,,,,,,,,,,,,,,,,,,,,PM25-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581513,65798012,99087314,306,000001,000001,000001,20100201,PM10-FIL,5.36118,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.069331,29.287986,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT1A,56350_G_CT1A,2015,20180117,,,,,75241,3643,,,,,,,,,,,,,,,,,,,,,,,,,PM10-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581513,65798012,99087314,306,000001,000001,000001,20100201,PM-CON,4.386419999999998,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.069331,29.287986,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT1A,56350_G_CT1A,2015,20180117,,,,,75241,3643,,,,,,,,,,,,,,,,,,,,,,,,,PM-CON was determined using data speciated from the PM Calculator.
US,48487,,7927311,2546713,2457012,4034114,10,000002,000002,000011,10100202,PM25-FIL,25.7408,,OKLAUNION POWER STATION,2,452,23,120,,96.6,22111,-99.175733,34.082594,,,6880,E6BTU/HR,63UUUUU,125,100,128,,,,,TXCEQ,5,2015EPA_PMAug,HAP,127,1,127_B_1,2015,20180117,,,,,76373,7271,,,,,,,,,,,,,,,,,,,,,,,,,PM25-FIL was speciated from agency provided data using PM Calculator.
