country_cd,region_cd,tribal_code,facility_id,unit_id,rel_point_id,process_id,agy_facility_id,agy_unit_id,agy_rel_point_id,agy_process_id,scc,poll,ann_value,ann_pct_red,facility_name,erptype,stkhgt,stkdiam,stktemp,stkflow,stkvel,naics,longitude,latitude,ll_datum,horiz_coll_mthd,design_capacity,design_capacity_units,reg_codes,fac_source_type,unit_type_code,control_ids,control_measures,current_cost,cumulative_cost,projection_factor,submitter_id,calc_method,data_set_id,facil_category_code,oris_facility_code,oris_boiler_id,ipm_yn,calc_year,date_updated,fug_height,fug_width_xdim,fug_length_ydim,fug_angle,zipcode,annual_avg_hours_per_year,jan_value,feb_value,mar_value,apr_value,may_value,jun_value,jul_value,aug_value,sep_value,oct_value,nov_value,dec_value,jan_pctred,feb_pctred,mar_pctred,apr_pctred,may_pctred,jun_pctred,jul_pctred,aug_pctred,sep_pctred,oct_pctred,nov_pctred,dec_pctred,comment
US,48163,,3930211,92108113,89149412,125706514,2,000015,000015,000015,20100202,VOC,2.3774,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092894,28.930858,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_11A,2015,20180117,,,,,78061,2241,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108113,89149412,125706514,2,000015,000015,000015,20100202,PM10-PRI,2.2076,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092894,28.930858,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_11A,2015,20180117,,,,,78061,2241,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108113,89149412,125706514,2,000015,000015,000015,20100202,CO,2.2076,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092894,28.930858,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_11A,2015,20180117,,,,,78061,2241,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107913,89149212,125706314,2,000013,000013,000013,20100202,SO2,0.0387,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.093014,28.930964000000003,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,8,2015TXCEQ,UNK,,,3630_G_9A,2015,20180117,,,,,78061,2256,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107913,89149212,125706314,2,000013,000013,000013,20100202,PM25-PRI,2.2094,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.093014,28.930964000000003,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_9A,2015,20180117,,,,,78061,2256,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107913,89149212,125706314,2,000013,000013,000013,20100202,NH3,0.0884,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.093014,28.930964000000003,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_9A,2015,20180117,,,,,78061,2256,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107913,89149212,125706314,2,000013,000013,000013,20100202,NOX,1.0792,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.093014,28.930964000000003,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_9A,2015,20180117,,,,,78061,2256,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107913,89149212,125706314,2,000013,000013,000013,20100202,50000,0.17,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.093014,28.930964000000003,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_9A,2015,20180117,,,,,78061,2256,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107913,89149212,125706314,2,000013,000013,000013,20100202,VOC,2.3794,49,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.093014,28.930964000000003,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_9A,2015,20180117,,,,,78061,2256,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107913,89149212,125706314,2,000013,000013,000013,20100202,PM10-PRI,2.2094,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.093014,28.930964000000003,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_9A,2015,20180117,,,,,78061,2256,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107913,89149212,125706314,2,000013,000013,000013,20100202,CO,2.2094,91.14,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.093014,28.930964000000003,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_9A,2015,20180117,,,,,78061,2256,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107713,89149012,125706114,2,000011,000011,000011,20100202,SO2,0.0384,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.0931,28.931031,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,8,2015TXCEQ,UNK,,,3630_G_7A,2015,20180117,,,,,78061,2239,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107713,89149012,125706114,2,000011,000011,000011,20100202,NH3,0.0877,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.0931,28.931031,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_7A,2015,20180117,,,,,78061,2239,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107713,89149012,125706114,2,000011,000011,000011,20100202,CO,2.1931,91.14,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.0931,28.931031,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_7A,2015,20180117,,,,,78061,2239,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107713,89149012,125706114,2,000011,000011,000011,20100202,PM10-PRI,2.1931,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.0931,28.931031,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_7A,2015,20180117,,,,,78061,2239,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107713,89149012,125706114,2,000011,000011,000011,20100202,PM25-PRI,2.1931,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.0931,28.931031,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_7A,2015,20180117,,,,,78061,2239,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107713,89149012,125706114,2,000011,000011,000011,20100202,NOX,1.0713,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.0931,28.931031,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_7A,2015,20180117,,,,,78061,2239,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92107713,89149012,125706114,2,000011,000011,000011,20100202,VOC,2.3618,49,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.0931,28.931031,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_7A,2015,20180117,,,,,78061,2239,,,,,,,,,,,,,,,,,,,,,,,,,
