,Facility_ID,Longitude,Latitude,NH3_Gnd_Winter,NOX_Gnd_Winter,PEC_Gnd_Winter,SO2_Gnd_Winter
863,12806211.0,-92.44,42.527,799416.3398082122,444911.2183551225,2281993.0604402805,6874.340325039952
864,7558311.0,-112.58,39.509,36947.166144862684,7013.749910945404,243512.4167876562,1815.8174274735702
865,7302811.0,-119.522,39.561,63404.82079758914,40541.260732224844,876941.9749584906,957.531664556887
866,7320211.0,-98.324,34.542,133037.2484124572,40149.80841569671,237519.17432256084,806.2534656379404
867,5494511.0,-93.204,43.248,307992.91359728994,157577.55748584578,1109213.9794913894,1622.1276338770092
868,10702411.0,-93.293,43.094,538620.6535035542,906576.27789431,6480681.755682109,6694.736546007356
869,9093511.0,-111.893,39.819,7708.606436450709,760.5615380206233,3457.2733712524864,15.516662462725275
870,7302011.0,-117.153,40.881,2752.709718679028,17655.980869328912,159671.08074068156,124.66388617317706
871,13414311.0,-114.159,35.035,118.02717966355524,1502.618076095142,20163.773872972684,47.12480953343126
872,16323811.0,-114.133,35.054,118.02717966355524,1502.618076095142,20163.773872972684,47.12480953343126
873,8416111.0,-95.992,36.117,981762.141838842,1636245.074104968,16924246.529941395,68070.40278685658
874,7218011.0,-95.934,35.983,539689.8745096192,849362.1174230442,9599652.054671071,34609.31513731217
875,8186111.0,-95.957,35.998,539689.8745096192,849362.1174230442,9599652.054671071,34609.31513731217
876,3164811.0,-93.529,41.558,212938.35359747102,265826.1519674871,2326566.7811270016,4156.641891050738
877,3164611.0,-93.677,41.672,1863269.2382796663,3058529.102612434,24177475.29449908,27062.2648565948
878,2993611.0,-92.749,41.753,470748.11420497106,433120.14186211035,2663094.6470007403,3810.1488505299644
879,12806511.0,-93.583,42.027,557594.1749390693,812180.0640259238,5831044.977314974,5862.885413894502
880,3731711.0,-94.347,41.113,577242.35977144,337456.85458370915,2133940.275707114,1433.3138392068238
881,897211.0,-103.679,40.22,175021.44351238754,10761.190602424496,73318.32506467166,61.84405664564234
882,3936111.0,-103.631,40.242,102678.14976197983,9337.357939922565,54637.19479192094,101.5119045004814
883,862811.0,-109.894,32.058,12811.21820445525,15063.21650381763,161952.16367480435,91.87408167378501
884,6815611.0,-114.632,36.656,10282.094852161483,28661.963186228717,318815.56590950646,319.2892744454726
885,5050611.0,-111.08,39.379,11040.900066179738,3014.3462301192253,21208.589961869977,99.00567222874793
886,5050511.0,-111.029,39.173,4199.477137341681,2559.134598655716,14691.659227207843,59.908083738794176
887,8350811.0,-97.675,35.47,493257.7438359882,617649.1035341339,6015879.73805389,13601.575124715793
888,8209811.0,-119.132,39.128,43208.221385151395,6102.6076252614075,44789.89473610785,47.02185435632572
889,4367811.0,-104.575,38.208,42013.13529974649,10741.837333610069,189354.548584934,122.9171828950994
890,8518611.0,-99.225,36.435,53390.46034961703,72052.02308229682,469496.6797254466,5439.089718856747
891,1024211.0,-95.934,34.683,121760.0311306069,85280.80122906754,482058.7497996429,509.4050957306475
892,5066211.0,-110.864,39.725,6494.423306769746,3697.791367540528,57608.136342120226,76.35092002645693
893,3555811.0,-104.965,39.808,2674019.854002445,1364536.408646456,36914067.56804227,22759.76798092538
894,17744711.0,-75.499,39.187,1327489.6358904645,2098614.220933357,18687072.19691763,47412.84183970701
895,6599611.0,-96.461,30.722,484287.23641921184,169114.78069040398,996627.6379634354,8787.247499000261
896,7742411.0,-85.838,38.263,2193043.422553333,1624097.0433481869,30714572.31460341,30702.395860025405
897,8505111.0,-77.168,35.132,160590.6397742171,89974.3989165246,806097.5637181882,3091.6954271787995
898,16584111.0,-93.812,33.65,275683.80792068655,202355.18746994136,1285279.2499915005,830.7085975823468
899,8086411.0,-101.332,47.287,4697.131519141039,26383.522643248292,74189.74381992599,87.6356984615353
900,8086511.0,-101.837,47.368,11510.877018031273,54984.60447531894,329812.7547691942,1038.9009542860576
901,8086611.0,-101.816,47.222,7344.655835556324,37417.5567148358,313100.64956322487,389.8080106404584
902,6173211.0,-93.654,47.261,91948.10097923037,187437.8012593892,1161011.1196234848,9538.964741070678
903,8087911.0,-101.213,47.067,8720.612215723704,14214.708806076262,33845.12459287584,73.80757616328559
904,3699211.0,-84.47,33.829,5824029.065877454,3217439.130747638,59903181.7324743,67687.9834504127
905,3022411.0,-75.539,41.482,161846.39392519172,80304.21955512368,1662138.837634468,19603.68985483066
906,5729111.0,-94.902,29.771,139211.4057225616,60689.61319977726,1176817.2351516103,1674.7921042303692
907,5847411.0,-94.923,29.752,1042733.6375646368,895060.2364634973,16922916.71047998,93283.67078265977
908,3776611.0,-80.368,40.938,1419788.6024893818,970837.9384540317,20587782.709765684,46895.18808359058
909,5729511.0,-94.991,31.94,351918.8842696605,33977.914704679795,325252.0323090481,1043.2601677491302
910,5506011.0,-84.895,39.803,353976.0493413837,213916.93321850125,2275062.3434655294,7175.508988847905
911,5507411.0,-85.308,40.621,605779.0453438973,198433.75814068998,2039461.9292165681,1532.9925959650734
912,16862411.0,-96.614,33.577,456116.96113697917,91630.25811981264,894955.3153190672,1323.1092706787717
913,4018911.0,-98.14,29.624,456333.32090652536,431774.96434151335,8058606.042947023,13523.470352931316
914,7720411.0,-97.973,29.593,601678.777197607,280211.6803250046,5163396.451597518,11317.301062003733
915,14748411.0,-94.257,30.303,100224.1263977581,172858.59263802753,3150727.173335663,5315.550331580445
916,4925011.0,-95.046,29.626,1939743.1352617426,1053034.6535963234,34243154.753136754,36438.627895565536
917,6429411.0,-95.11,29.816,771763.7349169406,335933.24792460894,8654643.67196612,13160.83235276867
918,6616311.0,-95.072,29.703,1457834.9382077365,1276549.119850254,29659111.572408717,55485.941910361704
919,4926511.0,-95.535,29.942,2143054.5574927144,1153378.6081793322,35950766.64230205,38830.84184802826
920,6422111.0,-95.177,29.725,2170936.4135483075,1624451.801998218,42992316.45781872,44780.41896457413
921,6510011.0,-95.232,29.719,2170936.4135483075,1624451.801998218,42992316.45781872,44780.41896457413
922,4057511.0,-95.121,29.837,771763.7349169406,335933.24792460894,8654643.67196612,13160.83235276867
923,7907811.0,-95.041,29.695,1457834.9382077365,1276549.119850254,29659111.572408717,55485.941910361704
924,6509911.0,-95.136,29.714,1457834.9382077365,1276549.119850254,29659111.572408717,55485.941910361704
925,4777911.0,-95.223,29.819,449694.0679434075,392532.57504410436,10663322.954697039,14610.134516955402
926,6429511.0,-95.067,29.626,1939743.1352617426,1053034.6535963234,34243154.753136754,36438.627895565536
927,4927111.0,-97.991,29.781,926221.764816285,267829.5924165036,3788061.3538236334,25900.231675696567
928,4863311.0,-96.101,32.124,458637.48952621466,153134.86883145172,1783684.5842172108,3797.353697332137
929,5655011.0,-98.372,30.558,3816.8307906185773,12552.82822006893,148774.38935780042,180.4902480747082
930,5613211.0,-94.548,32.849,85166.81909779143,79883.92515339883,832768.4350785075,628.6565876142417
931,7652411.0,-94.723,32.922,363035.5356214495,76549.27471024296,749032.1649534961,1850.9655761483245
932,13389311.0,-94.9,31.832,446737.8649418261,16716.633561070055,154883.44795060073,142.9820068839019
933,5611911.0,-97.31,27.608,142682.41150604087,139939.52384372853,2753863.6355441366,6699.549197652745
934,4189011.0,-97.419,27.819,216460.06511217638,202628.98429143877,2319528.887781685,5274.3137131949115
935,4206511.0,-97.428,27.814,216460.06511217638,202628.98429143877,2319528.887781685,5274.3137131949115
936,5678011.0,-101.746,35.284,224128.05971466054,50354.002618458704,548334.9794756531,1508.1136889418776
937,5780011.0,-97.258,27.889,349071.60888634424,91891.45074003912,602689.1073759588,2266.1507603543655
938,9071611.0,-97.613,30.209,1339924.403056215,102244.389556274,1960397.205060085,2384.5843893861615
939,5021711.0,-97.612,30.304,637674.3835167994,201993.54221899837,4076002.5088979797,42889.10769929157
940,8515911.0,-102.959,31.583,2789.0357331294267,63761.59556760184,272106.5217444245,16422.53533650325
941,8516011.0,-95.899,29.264,696550.7230177412,96213.54758678917,1143121.3588570259,1051.877370884054
942,13392711.0,-96.068,29.289,677608.7458232587,245926.2045607837,3259304.8944358085,3919.77713982272
943,7927311.0,-99.176,34.083,93756.68975563526,22265.242126440204,97446.08198406345,61.89308146851883
944,9051811.0,-97.909,33.061,183306.22496826813,87577.30093523226,341346.26697188296,394.4328061013623
945,8532511.0,-98.612,33.135,32455.03780256888,62159.27625942792,586330.9899369108,1914.2639036967025
946,4478911.0,-87.248,38.806,327822.365291279,107721.54662291119,253824.17497904974,1233.6675791325436
947,14766611.0,-104.392,48.21,8764.652676760037,36008.79188742215,96728.75204011762,1134.7585623313178
948,5860711.0,-96.45,33.07,264646.1126958173,75592.33854904107,1095828.3969733291,749.4038245962404
949,3988511.0,-87.478,41.674,4335131.90374675,2751453.2900779336,45126699.67038379,390801.34028935194
950,13597611.0,-94.002,44.199,1096807.1642687703,296176.6575165881,2926477.7472500172,5490.644588824576
951,10709711.0,-76.16,39.72,2732966.4916229127,172435.09000221756,1807648.7878156723,30545.771331941844
952,6275411.0,-93.248,44.812,10323968.804144325,4297365.829382611,70677636.45112869,66917.77953903133
953,6276011.0,-93.042,44.782,860635.1782306542,1045105.8564371816,12131906.086220758,10355.308136641672
954,5632311.0,-95.746,29.072,239332.10472891142,42904.35610042317,567113.9727680426,1981.5308431113165
955,8198011.0,-85.175,39.656,530317.8391878469,367049.80653189315,4498169.759989422,6426.779352447062
956,16600211.0,-81.417,35.171,250996.22078150872,240250.35850468426,2123373.1589349513,2911.4629128960128
957,7488611.0,-93.109,44.933,11278615.86772776,8454472.459782928,81110432.98673862,136089.73694993203
958,7362411.0,-87.253,38.528,253781.10308168465,109992.24341613197,763082.9835112997,1383.0691472011517
959,4672011.0,-87.266,38.521,253781.10308168465,109992.24341613197,763082.9835112997,1383.0691472011517
960,3721111.0,-81.544,31.215,160308.20570402293,256815.72403184263,3969641.5418646224,24998.052295282978
961,8166111.0,-87.715,37.905,281366.3310202618,338991.1080794402,2284457.790169492,4170.247532827567
962,9467011.0,-93.289,44.335,2224472.9534515496,944428.491415929,33432247.87018561,29818.04576745938
963,3193911.0,-76.697,40.096,2968422.0466336585,703415.9020718392,11090507.603540618,50192.363145706055
964,15649311.0,-76.308,39.739,1229247.7568486233,189386.2181972383,2539328.2480260315,21890.219998071152
965,8225111.0,-86.419,39.485,490439.2740819807,387786.4554217739,5858855.463893823,5117.59795435119
966,7150111.0,-92.491,44.032,910385.0733093374,1492479.5411837804,7986262.260945068,23283.271373923813
967,5702311.0,-85.844,38.222,2193043.422553333,1624097.0433481869,30714572.31460341,30702.395860025405
968,5702411.0,-85.889,38.183,2193043.422553333,1624097.0433481869,30714572.31460341,30702.395860025405
969,7353711.0,-85.911,38.053,1334447.651362128,1027720.4303302331,17406565.361136828,14506.238987395185
970,7072311.0,-96.043,46.29,119973.69163426984,135502.95088134892,921837.9519540318,6724.749279399117
971,5270511.0,-108.484,45.773,82244.26442897624,140607.75428391146,1613975.6203090393,35963.18674338275
972,4836411.0,-96.546,32.837,1444326.1132876026,929800.1466168246,21404653.025617573,22271.85420902404
973,5729911.0,-96.937,32.726,1510142.966058713,1065283.1631603534,25276372.32748397,22550.72185389596
974,3713211.0,-85.346,34.253,440160.1736469949,174774.11781632013,1986462.2541877334,7690.188600485205
975,3115511.0,-97.106,33.197,460308.2917953582,407821.2811049587,5670704.672808125,6077.381849559174
976,4834311.0,-71.407,41.861,1797767.7889120288,1351982.906678506,26258885.170971654,120573.05060372195
977,5617311.0,-97.359,31.859,738299.1355648395,33049.478552384004,447046.2975574894,83.15713991576764
978,16861111.0,-97.315,31.055,624511.115911133,625347.5261080621,5860374.313463326,9701.437666076568
979,12582311.0,-123.481,46.969,7694.601981121259,12324.936656164073,81605.97064933369,50.473662720789186
980,7972611.0,-84.86,39.08,589212.9257969353,775846.6156850457,13211084.536073508,12336.609232554776
981,10715711.0,-84.867,39.091,589212.9257969353,775846.6156850457,13211084.536073508,12336.609232554776
982,3000111.0,-98.575,29.352,1460702.7667526144,847332.5581942896,23733996.945247814,27809.569154733344
983,5616511.0,-98.381,29.257,830450.8689240261,148439.58925830995,3909160.703881972,3613.9792816738673
984,7039811.0,-90.911,47.531,14.43199467546805,3596.9654565445217,13978.425856619571,10.457510661081534
985,2985011.0,-78.366,41.067,23007.306435505652,23198.552171871735,493155.09537027247,6402.506874579103
986,1050611.0,-91.364,35.26,52309.489448841494,109585.91098673793,909588.8514212182,325.09348834461707
987,8017211.0,-87.036,37.926,301394.4304254604,353230.41247064725,4908192.710771457,5354.906954171134
988,16658111.0,-85.038,33.407,361387.762069767,26690.809209867417,933051.1727518443,759.9481611814138
989,7415011.0,-85.035,33.412,361387.762069767,26690.809209867417,933051.1727518443,759.9481611814138
990,15560111.0,-83.604,32.485,64389.51083061808,86057.6298606523,1267001.0494856923,2053.8480313982855
991,8500711.0,-83.398,34.041,719613.4272715907,575972.8412960388,6410733.765825448,20443.803585743968
992,4852511.0,-96.111,31.89,152339.036109202,40387.414026174534,199984.28292688594,475.533355111084
993,6772111.0,-92.779,45.03,896933.3083798777,865296.538600675,9605484.26327745,14450.643083734558
994,6785711.0,-92.91,44.796,860635.1782306542,1045105.8564371816,12131906.086220758,10355.308136641672
995,7248511.0,-87.427,39.924,300954.5710858779,126947.59008108306,1195003.8644522463,832.0612709115584
996,4147311.0,-87.423,39.527,231373.20280197499,321031.9564638434,3574655.5175762754,5072.6000923620195
997,3930911.0,-94.942,29.377,462022.3569809815,169828.0577470228,4164483.447962366,7909.307538142128
998,9132111.0,-94.932,29.378,462022.3569809815,169828.0577470228,4164483.447962366,7909.307538142128
999,8183111.0,-87.333,37.915,218443.94130920595,401487.34816184855,4296961.9465109315,3000.58441394616
1000,8183011.0,-87.325,37.91,218443.94130920595,401487.34816184855,4296961.9465109315,3000.58441394616
1001,9123111.0,-94.436,32.396,229780.58171480845,347942.1896712402,1836463.2745170542,2246.0367258317533
1002,8354711.0,-83.806,33.063,21820.468204968405,83650.30085694934,2007992.9888824024,995.6741030378791
1003,9751411.0,-84.919,34.709,799776.810209354,491615.556192804,8328837.880910658,51077.99706306391
1004,4846411.0,-98.19,26.34,222697.17279145203,64631.71968818738,873429.0863356271,1626.7838828872761
1005,7908611.0,-98.399,26.208,253806.11491354823,243808.03766191407,4531360.627488471,7071.155222936157
1006,6141711.0,-98.175,26.342,210719.90409013905,177265.1332735162,1634467.8563570431,2913.3694264887404
1007,9116611.0,-97.731,32.334,215428.40955066166,134940.77572787352,544456.3945738032,474.3285114606224
1008,6153011.0,-97.698,32.404,175197.72729150596,282478.02495736623,2364869.5651052254,2637.8166615203004
1009,5649311.0,-101.422,32.273,26222.662590709253,82896.39832953158,783442.1839228021,2543.6210130842264
1010,5655711.0,-96.127,33.171,318788.77950519574,52146.63172849101,468544.0265643068,258.72299241380546
1011,7910111.0,-101.36,35.696,5048.4753183954135,81324.85542629441,169776.3637134776,14890.784346443594
1012,13385011.0,-97.957,33.101,183306.22496826813,87577.30093523226,341346.26697188296,394.4328061013623
1013,6364211.0,-97.409,32.399,1315054.7903807557,406901.5517478105,9616275.966014046,6858.967757532135
1014,9146511.0,-96.492,32.756,1605720.4889676252,752654.1858588838,18725688.94503811,17667.577657076203
1015,15040211.0,-84.692,32.589,23820.312055333776,26786.240256026595,476487.56065126014,233.45637182444125
1016,7910611.0,-95.59,33.631,280613.4651921546,73122.22145153246,605282.3035953018,3046.227457141922
1017,6431011.0,-95.557,33.697,367155.58299844177,51716.17286127562,561347.503880676,1514.5930201546719
1018,4946011.0,-102.41,34.166,95474.64650335896,9066.723112614185,34526.636525362,21.890683589821858
1019,4030611.0,-101.74,33.524,156529.47372869815,44816.33945668825,427382.6796745079,797.2564926268627
1020,5655211.0,-101.791,33.521,269104.49853898527,573346.0134510228,5979538.012084634,14424.163616849486
1021,5655311.0,-101.841,33.604,113309.28916137858,143725.54463776798,1397051.2301067996,6159.704241598311
1022,4204911.0,-100.913,32.334,36070.959305979064,49295.52728743129,519034.44323973724,870.3568760232362
1023,7910511.0,-95.521,30.436,241572.41936768536,86985.97949734198,2734705.097919871,5322.4464991117575
1024,9118811.0,-93.736,30.258,475830.70689410664,70131.62417702127,775749.863416658,2819.5630640252407
1025,5730811.0,-93.877,30.022,442601.48246328166,149515.70574277305,3371504.760569249,6551.139094660996
1026,6509111.0,-93.758,30.055,187424.9388155251,252230.51895427675,3106371.1565487836,10282.739172194077
1027,5731011.0,-93.772,30.044,187424.9388155251,252230.51895427675,3106371.1565487836,10282.739172194077
1028,4207311.0,-94.571,32.261,664293.0361487546,299981.7870523056,698441.9271193593,1297.5008750935085
1029,14748511.0,-95.011,30.419,155079.81866107057,65033.28143945046,1041118.0420898315,568.8444660539856
1030,4916711.0,-97.218,32.727,1084176.6236186181,1145345.6776506747,16590065.325223703,22568.821604702196
1031,5863011.0,-97.135,28.895,189881.7234209235,77742.06123900572,336502.04104129813,3846.47655813794
1032,6497211.0,-97.011,28.789,221265.15984963733,238435.39714201415,2675864.923630088,7625.136161059118
1033,5023911.0,-99.508,27.568,42174.29766116001,179500.1520091005,2378211.1971469996,5806.127560991091
1034,5129311.0,-102.742,32.972,31244.66852263068,14039.439473842336,41408.555241009824,2302.518076624677
1035,8240111.0,-76.604,39.266,12572361.41531143,6639034.496403754,83092393.65179597,183309.2890586898
1036,6572611.0,-76.63,39.266,12572361.41531143,6639034.496403754,83092393.65179597,183309.2890586898
