,facility_id,Longitude,Latitude,PEC_Gnd_Winter,PEC_Gnd_Spring,PEC_Gnd_Summer,PEC_Gnd_Fall,PEC_Gnd_Annual,PEC_150m_Winter,PEC_150m_Spring,PEC_150m_Summer,PEC_150m_Fall,PEC_150m_Annual,PEC_300m_Winter,PEC_300m_Spring,PEC_300m_Summer,PEC_300m_Fall,PEC_300m_Annual,SO2_Gnd_Winter,SO2_Gnd_Spring,SO2_Gnd_Summer,SO2_Gnd_Fall,SO2_Gnd_Annual,SO2_150m_Winter,SO2_150m_Spring,SO2_150m_Summer,SO2_150m_Fall,SO2_150m_Annual,SO2_300m_Winter,SO2_300m_Spring,SO2_300m_Summer,SO2_300m_Fall,SO2_300m_Annual,NOX_Gnd_Winter,NOX_Gnd_Spring,NOX_Gnd_Summer,NOX_Gnd_Fall,NOX_Gnd_Annual,NOX_150m_Winter,NOX_150m_Spring,NOX_150m_Summer,NOX_150m_Fall,NOX_150m_Annual,NOX_300m_Winter,NOX_300m_Spring,NOX_300m_Summer,NOX_300m_Fall,NOX_300m_Annual,NH3_Gnd_Winter,NH3_Gnd_Spring,NH3_Gnd_Summer,NH3_Gnd_Fall,NH3_Gnd_Annual,NH3_150m_Winter,NH3_150m_Spring,NH3_150m_Summer,NH3_150m_Fall,NH3_150m_Annual,NH3_300m_Winter,NH3_300m_Spring,NH3_300m_Summer,NH3_300m_Fall,NH3_300m_Annual
65,5729911,-96.937,32.726,278295.4848491905,226797.71342609014,223223.6929804355,245646.59537175047,243490.87165686663,138225.70832749965,108223.96384956737,102928.14067218367,126319.42273161424,118924.30889521624,108126.92687385695,93151.64324943253,90461.95248067603,105552.76625382333,99323.3222144472,21405.730368288383,16696.3194692189,16505.401489361986,12499.37817619572,16776.707375766247,20175.825302122976,17173.81033251934,16952.734777091457,13852.458323838471,17038.70718389306,19171.91196348311,17134.44666984302,15976.858951692044,14005.968172825838,16572.296439461006,12959.490436506261,5618.073842573566,1589.2845540770893,4805.389494765355,6243.059581980568,9081.442910303198,4330.309279714716,1598.8985000226078,4239.288557405129,4812.484811861412,7772.944663457794,3962.6238748103146,1192.6040367714625,4074.572251348654,4250.686206597056,179151.75563402174,74445.37371552411,81892.948629164,83869.43975682343,104839.87943388332,85617.8663893812,33961.52075368936,40949.41687011642,47601.95465416411,52032.689666837774,59148.63688555277,28435.21716048585,30842.29677186135,34976.87837361741,38350.75729787935
66,3115511,-97.106,33.197,164457.3187159023,112161.28184894603,111853.0374430054,140928.5452917293,132350.04582489576,94863.2533463061,59356.61237614078,56025.47879535707,84689.04782351336,73733.59808532933,77998.01046079518,52790.36137422657,49729.71443543756,75329.40835473205,63961.873656297845,24093.383959447805,15533.078122893836,14550.08284472804,12997.821299503676,16793.59155664334,23226.473077744293,15226.444165785513,14997.56995822758,14294.633962596992,16936.280291088595,22059.069183426345,15415.177592255111,13950.937120827808,14415.167469079657,16460.08784139723,12315.696239748459,4489.4783436986845,1103.151600585934,4395.85084448814,5576.044257130305,9709.642846641604,3299.4851318278393,1044.1401245765576,3857.6127246514625,4477.720206924366,8274.396093589572,3043.028911757781,731.0104830628948,3878.7499224830667,3981.7963527233287,96704.61473180087,32422.531781636513,36932.673154009695,49003.400512171356,53765.805044904606,60877.96300046252,20099.76393344961,23960.82482714385,34497.51335098862,34859.01627801115,46809.80763591767,18503.5582125956,19634.906251130975,29676.431215252298,28656.175828724132
67,5617311,-97.359,31.859,133980.02510851706,90508.55050044646,92142.77588963357,126351.2678928495,110745.65484786165,81541.25281696639,49396.38468880545,48069.83281984687,78411.01504484282,64354.62134261538,68148.63925622885,44253.22540057387,42940.863692052124,67618.55064663786,55740.31974887318,28564.039745630984,15242.629435845582,13697.54367933298,13462.92373059532,17741.784147851216,26509.601339047244,15968.552351214066,14525.959155024597,14800.966495716326,17951.269835250558,23566.185895359464,16231.210427381311,14749.463633426938,14993.587269466496,17385.111806408553,12397.950464863416,3965.957717422201,993.8915096497052,4356.25331804122,5428.5132524941355,9392.886159731543,2923.6279732794237,982.7320054881525,3750.364124769749,4262.402565817217,7959.278811121243,2714.877186994046,837.0975671665808,3686.2596880551364,3799.3783133342513,75727.0407524243,23581.426266873586,23665.587478963385,45254.23860916119,42057.07327685562,51789.28314795963,15644.82073018414,16461.54521692206,33524.05405606005,29354.92578778147,41404.69350774035,14777.334609635896,13744.586444519597,28556.23958954228,24620.71353785953
68,16861111,-97.315,31.055,120236.22981561987,85407.80003105754,84392.87819301907,115322.12949649457,101339.75938404776,78114.74939113024,46897.141142878936,44152.070369163936,73450.06382434793,60653.506181880264,65603.55080065095,42170.22441954257,39347.24752623315,62492.40615854162,52403.35722624207,32003.076115004373,14560.47662974775,12368.94007625424,11785.019661493978,17679.378120625086,29005.87345880669,15414.087707230588,13281.64940671038,13034.03952324399,17683.91252399791,24481.889059069676,15803.518114260967,14028.377506260249,13957.837082064778,17067.905440413917,11947.476589415439,3399.477284856979,796.0743466595977,2541.305894834646,4671.0835289416655,8759.86802701035,2460.4413136499147,778.982137880309,2037.4317311298455,3509.180802417605,7436.576747857774,2309.016773274864,700.4771864592569,1906.4227835003107,3088.1233727730514,64197.247091418634,19676.02290263952,20083.65225758021,42166.71351882499,36530.90894261584,47388.52437470565,13489.62745089784,14229.47668928533,31026.53092394144,26533.539859707562,38850.30155550651,12913.14036011767,11876.087366430835,26713.357651885286,22588.221733485072
69,3000111,-98.575,29.352,255114.31912798304,193864.2036561516,197804.65580203166,226907.65634261444,218422.70873219517,125955.53939705828,93520.81094612203,90988.71636087108,119037.20259738564,107375.56732535925,98488.33430733348,80815.1767092307,78916.88766010612,88718.95532780146,86734.83850111795,27006.469352412714,15100.547487546632,10780.749743388378,12149.07846561191,16259.211262239907,23405.28636695972,15652.350289621545,11530.26570543008,12396.595145653257,15746.12437691615,17873.75321669824,15679.496403358295,13155.872509515506,12944.194765917051,14913.329223872275,9658.152570402184,3943.154580618649,944.0045622931342,2697.5160827315003,4310.706949011367,6449.049369924372,3073.646985567897,935.7761113339762,2352.9987513285023,3202.867804538687,5578.605156157806,2936.5909262000955,885.9753336711068,2246.8801637972024,2912.012894956553,160366.28461775446,48937.41318683819,50505.89833659501,80725.28442318624,85133.72014109348,69288.71468828851,21156.043535274533,21723.573149477463,39437.82973588755,37901.540277232016,47869.301424059995,17271.005324767477,15474.611362046455,25743.223670841107,26589.53544542876
70,5616511,-98.381,29.257,255114.31912798304,193864.2036561516,197804.65580203166,226907.65634261444,218422.70873219517,125955.53939705828,93520.81094612203,90988.71636087108,119037.20259738564,107375.56732535925,98488.33430733348,80815.1767092307,78916.88766010612,88718.95532780146,86734.83850111795,27006.469352412714,15100.547487546632,10780.749743388378,12149.07846561191,16259.211262239907,23405.28636695972,15652.350289621545,11530.26570543008,12396.595145653257,15746.12437691615,17873.75321669824,15679.496403358295,13155.872509515506,12944.194765917051,14913.329223872275,9658.152570402184,3943.154580618649,944.0045622931342,2697.5160827315003,4310.706949011367,6449.049369924372,3073.646985567897,935.7761113339762,2352.9987513285023,3202.867804538687,5578.605156157806,2936.5909262000955,885.9753336711068,2246.8801637972024,2912.012894956553,160366.28461775446,48937.41318683819,50505.89833659501,80725.28442318624,85133.72014109348,69288.71468828851,21156.043535274533,21723.573149477463,39437.82973588755,37901.540277232016,47869.301424059995,17271.005324767477,15474.611362046455,25743.223670841107,26589.53544542876
71,4852511,-96.111,31.89,129452.34629793496,92730.04769568468,90643.41130592892,116495.43231791635,107330.30940436623,82563.60650030774,53861.63920761537,49262.78035978059,74657.61854570794,65086.41115335291,69194.33285428946,48684.839205856675,44330.3000582713,64593.413669450674,56700.72144696703,27513.047882561503,18794.948963719085,15873.053404627086,12865.523410676118,18761.643415395945,25063.34166280565,19957.81691957954,16830.975114963512,14313.028200804116,19041.290474538204,21405.115191497935,19938.263160924023,17148.309014064318,14682.326848846198,18293.50355383312,11773.019448484674,5141.300288680818,1173.963169057082,3199.9494888962163,5322.058098779698,8898.561529013787,3815.5506381264986,1132.103495058631,2805.099862839551,4162.8288812596165,7605.749073374099,3500.6330034819293,1194.6036106990787,2658.4073875310446,3739.848268771538,73960.27666686362,27604.574364463446,24505.752798554906,42475.1706733152,42136.44362579929,52974.21563258396,19300.378939412814,17220.658443948858,31711.35659133536,30301.652401820247,43515.53434910907,18061.069729082206,14721.342764928782,27691.94972233795,25997.474141364502
72,3930911,-94.942,29.377,176755.7675249737,138109.8264033806,131610.35821116526,132341.29778378617,144704.31248082645,101678.22322404334,75497.77437829087,67218.77451224574,80167.36817411357,81140.53507217337,82463.98601196618,67204.39387936257,59815.14743626509,64626.4928957237,68527.50505582939,33460.5290009865,22766.442637547683,15458.91057033381,12847.465015868436,21133.336806184107,28327.488391347455,22035.64745121777,15891.928313064134,12999.969314838203,19813.758367616894,21784.806703936505,21192.11616980197,17270.117290135135,12946.774976994495,18298.453785217025,9311.601125962214,7554.653482851111,1462.2731553899253,2188.869363521637,5129.349281931221,7814.150115816033,5736.397354526731,1426.5424830852912,2165.9578380894222,4285.7619478793695,6634.01117759957,5376.351558603358,1355.2281057049888,2291.682698507621,3914.318385103885,119214.6018791008,48076.339885334826,36039.82985037326,45229.74426220182,62140.12896925268,67573.20039942209,25660.444783168223,17496.408802969938,27277.096276636126,34501.78756554909,52269.671533256726,21567.34033071687,13261.958834589155,21259.705890746758,27089.66914732738
73,9132111,-94.932,29.378,176755.7675249737,138109.8264033806,131610.35821116526,132341.29778378617,144704.31248082645,101678.22322404334,75497.77437829087,67218.77451224574,80167.36817411357,81140.53507217337,82463.98601196618,67204.39387936257,59815.14743626509,64626.4928957237,68527.50505582939,33460.5290009865,22766.442637547683,15458.91057033381,12847.465015868436,21133.336806184107,28327.488391347455,22035.64745121777,15891.928313064134,12999.969314838203,19813.758367616894,21784.806703936505,21192.11616980197,17270.117290135135,12946.774976994495,18298.453785217025,9311.601125962214,7554.653482851111,1462.2731553899253,2188.869363521637,5129.349281931221,7814.150115816033,5736.397354526731,1426.5424830852912,2165.9578380894222,4285.7619478793695,6634.01117759957,5376.351558603358,1355.2281057049888,2291.682698507621,3914.318385103885,119214.6018791008,48076.339885334826,36039.82985037326,45229.74426220182,62140.12896925268,67573.20039942209,25660.444783168223,17496.408802969938,27277.096276636126,34501.78756554909,52269.671533256726,21567.34033071687,13261.958834589155,21259.705890746758,27089.66914732738
74,9123111,-94.436,32.396,109519.75392537424,71918.74584401291,71097.7782014868,98224.23205277527,87690.1275059123,77586.06586388528,42123.68240773709,40108.778253676464,67394.02135309702,56803.13696959896,65977.90355957579,38242.66299597755,36187.172407912614,58346.761519819534,49688.62512082137,22929.394232534833,18476.35852619255,17662.308039855197,11737.595803084223,17701.4141504167,21775.24315430531,20398.3186973861,18559.806570245182,13353.957856562369,18521.83156962474,21615.829387924914,20048.727616403987,18423.503346302543,14347.146871818668,18608.80180561253,10307.683898658976,3109.897615426958,1143.4219084919546,1917.4159913992455,4119.604853494284,7700.040297178891,2269.405214015739,902.4429181928049,1676.909647760114,3137.199519286887,6761.498130814895,2119.8959754845514,1091.7564127841197,1457.339960547258,2857.6226199077064,67221.6454135918,26883.31337141309,31639.18771408271,38500.33798464743,41061.121120933756,49868.10419503978,19182.808700095135,21327.090800847847,28746.720579876575,29781.181068964834,42707.32181154348,18177.812810839252,20199.51445957963,25717.915351407933,26700.641108342574
75,4846411,-98.19,26.34,77382.6094121186,45785.34684942933,49160.75935459245,74020.52731788148,61587.31073350547,52521.38336977445,33426.17907181443,29017.089426957777,53264.02434842551,42057.16905424304,45805.266705729366,32765.305585255013,26443.380355578254,42104.22465343099,36779.5443249984,25403.993435205604,11652.94192130006,8188.641197109238,9811.503024094038,13764.269894427236,23358.246321613824,14992.729887608773,8960.970252237448,10722.234570081713,14508.545257885442,18439.195330089216,15027.8749213056,10461.02652804335,11456.031482948787,13846.03206559674,5361.623224408668,1126.7753005827979,409.869745593804,669.5004398713392,1891.9421776141521,4016.707492202771,1021.4550462997516,410.21403609814723,591.018951684915,1509.8488815713963,3577.744020721583,1040.426515702528,502.59900712320473,513.6383840257812,1408.6019818932743,40595.96055133656,8656.823697658536,7550.6432237161,26927.39069293035,20932.704541410385,24256.664040237654,7532.058736426633,4783.21984890358,19013.080462359238,13896.255771981778,21051.29197499118,7236.688024597852,3957.9244742224105,15821.110307909868,12016.753695430329
76,7908611,-98.399,26.208,102324.27639868167,63127.0721758391,68973.07632051702,94609.54324861079,82258.49203591215,63597.17690667158,40472.288652749914,38554.12065839289,63150.41800563828,51443.50105586316,53975.13043354878,38559.93346820089,35012.4737030732,49030.229714053195,44144.44182971901,23893.69533815059,9840.696699354718,7449.941639962867,8931.610493787171,12528.986042813836,21839.73566968985,12060.870875286999,8272.427488469732,10011.840659110769,13046.218673139338,16661.962482916708,12258.09162329522,9517.986419018296,10751.904291698778,12297.486204232253,5504.491472151392,970.1713545546177,371.55891100911555,592.5734820425614,1859.6988049394217,3800.2944438531263,837.5362867006593,396.54326184509125,486.2144383833799,1380.1471076955643,3396.936692433169,857.2853165962769,467.7923212445183,414.7467044844982,1284.1902586896156,52665.067491558155,11907.976340590718,9958.344654743294,34075.39301766634,27151.69537613963,27669.168009117566,8555.29632517565,5680.977399641975,22858.70826997959,16191.037500978695,22555.91153411367,7998.195297011786,4521.268331243194,18057.3548566122,13283.182504745211
77,6141711,-98.175,26.342,77382.6094121186,45785.34684942933,49160.75935459245,74020.52731788148,61587.31073350547,52521.38336977445,33426.17907181443,29017.089426957777,53264.02434842551,42057.16905424304,45805.266705729366,32765.305585255013,26443.380355578254,42104.22465343099,36779.5443249984,25403.993435205604,11652.94192130006,8188.641197109238,9811.503024094038,13764.269894427236,23358.246321613824,14992.729887608773,8960.970252237448,10722.234570081713,14508.545257885442,18439.195330089216,15027.8749213056,10461.02652804335,11456.031482948787,13846.03206559674,5361.623224408668,1126.7753005827979,409.869745593804,669.5004398713392,1891.9421776141521,4016.707492202771,1021.4550462997516,410.21403609814723,591.018951684915,1509.8488815713963,3577.744020721583,1040.426515702528,502.59900712320473,513.6383840257812,1408.6019818932743,40595.96055133656,8656.823697658536,7550.6432237161,26927.39069293035,20932.704541410385,24256.664040237654,7532.058736426633,4783.21984890358,19013.080462359238,13896.255771981778,21051.29197499118,7236.688024597852,3957.9244742224105,15821.110307909868,12016.753695430329
78,9116611,-97.731,32.334,139140.10013040347,82912.96818536629,84985.01252445426,134558.6891234418,110399.19249091647,82718.90970935518,44372.771854698185,44222.71790412812,81469.70241193747,63196.02547002974,68829.08678798651,39761.88434043913,39519.12819756997,70386.40313311286,54624.12561477712,24445.48335562838,13398.787592002298,13180.506175905108,13092.909843751868,16029.421741821914,23233.06193919401,14017.25430357372,13782.991118605514,14513.272200549027,16386.644890480566,21241.183498787457,14196.150938738589,13446.514020748105,14526.610993609984,15852.614862971033,10905.627472400376,2812.2091356552264,764.7376975356221,4319.458017172554,4700.508080690945,8583.294041259962,2079.4663408210477,756.5286038814928,3842.7619648368423,3815.5127376998357,7344.19168011217,1955.8964667703876,616.3795971732648,3711.2635127852436,3406.9328142102668,77696.5143527126,24286.62825164121,26717.29298488844,46304.591609132,43751.25679959356,50988.454208375944,15429.928037367992,18283.828080164232,32903.45262293222,29401.4157372101,40397.150074511075,14529.248306068012,15150.33391297512,27410.84154042158,24371.893458493945
79,6153011,-97.698,32.404,151807.36357887337,93101.65451619521,92754.89118058277,146349.33668164565,121003.31148932425,88499.56580333051,49827.22454658865,47737.92147300728,86802.50491141638,68216.80418358571,73088.60066470814,44551.83159530393,42570.188480100944,74811.58087055266,58755.55040266642,23703.16263516105,14190.464108494589,13927.748705315626,13605.333503653907,16356.677238156291,22649.21623844212,14618.279048729357,14389.30760203987,14878.49001420748,16633.823225854707,20944.133268642894,14728.812046466519,13668.49957828006,14743.07771134477,16021.130651183561,10916.175235207098,3191.8753116025678,917.1474653028398,4777.931397657261,4950.782352442442,8779.619305451999,2379.020527060538,880.4196934375676,4349.999150540489,4097.264669122648,7516.925438448066,2224.8558711687197,633.8877724963761,4302.669303162769,3669.584596318983,86449.16405595608,28446.461487290326,29420.612659391078,50372.318740212744,48672.13923571255,55153.47566051768,17610.688092401637,19571.884031427016,34356.44958483424,31673.124342295145,43071.20750262006,16310.559293502582,16119.929694368266,28066.14147721747,25891.959491927097
